route_id,route_name,length_km,avg_trip_time_min,num_stops,current_peak_freq,current_offpeak_freq,route_category,priority_score,depot_id
119A,Alandi - Vishrantwadi,11.0,36.4,30,2,1,trunk,1.0,Hadapsar
119,Alandi - Ma Na Pa,23.1,81.1,57,1,1,suburban,0.51,Katraj
11,Pimplegurav - Marketyard,18.3,63.2,42,2,1,trunk,0.128,Kothrud
11K,Kalpataru - Katraj,21.6,76.7,53,2,1,trunk,0.313,Katraj
120A,Indoorance System - Bhosari,23.5,83.6,57,1,1,suburban,0.539,Bhosari
120,Indoorance System Chakan Mhalunge - Ma Na Pa,40.6,143.8,80,1,1,suburban,0.544,Nigdi
121,Bhosari Terminal - Ma Na Pa,17.1,65.5,42,2,1,trunk,0.548,Bhosari
122A,Nehrunagar Depo - Ma Na Pa,15.9,53.4,41,1,1,trunk,0.465,Pimpri
122B,Chinchwadgaon - Nehrunagar Depo,6.0,20.7,16,1,1,feeder,0.5,Swargate
122C,Ma Na Pa - Chinchwadgaon,18.7,59.8,46,1,1,trunk,0.517,Balewadi
122,Chinchwadgaon - Ma Na Pa,18.7,63.4,45,1,1,trunk,0.462,Maan-Hinjewadi
123,Bhakti Shakti - Ma Na Pa,20.1,69.5,49,2,1,trunk,0.499,Shewalewadi
125,Dapodi Mantri Niketan - Bopkhel,12.7,48.8,31,2,1,trunk,0.516,Charholi
126A,Kamalpark - Khadki Bazar,10.1,36.2,21,2,2,trunk,0.507,Aundh
126B,Kamalpark - Pimplenilakh,20.2,78.8,56,1,1,trunk,0.507,Bhosari
126C,Khadki Bazar - Pimplenilakh,10.2,34.2,26,2,1,trunk,0.456,Dhankawadi
126,Pimplenilakh - Vishrantwadi,16.2,55.2,34,1,1,trunk,0.978,Hadapsar
126D,Khadki Bazar - Vishrantwadi,6.0,18.5,14,1,1,feeder,0.984,Katraj
128,Bopkhel - Ma Na Pa,19.1,73.8,43,2,1,trunk,0.454,Kothrud
129,Balewadi Depot - Pune Station,18.8,62.8,45,2,1,trunk,0.719,Balewadi
12,Bhakti Shakti - Upper Depot,30.05,103.1,74,2,1,suburban,0.552,Nigdi
130A,Yewalewadi - Katraj,5.7,19.7,10,1,1,feeder,0.698,Katraj
130,Shivajinagar - Yewalewadi,16.1,57.5,38,1,1,trunk,0.49,Pimpri
132A,Vadgaonsheri - Ma Na Pa (Via Shubham),14.0,50.5,35,2,1,trunk,0.503,Swargate
132,Shubham Society Nagar Road - Ma Na Pa,11.1,40.1,27,1,1,trunk,0.478,Balewadi
133A,Vadgaon Sheri - Ma Na Pa (Via Anand Park),14.8,49.9,33,1,1,trunk,0.51,Maan-Hinjewadi
133,Anand Park - Ma Na Pa,12.8,46.6,26,2,1,trunk,0.506,Shewalewadi
133B,Sainathnagar - Ma Na Pa,14.0,48.0,35,2,1,trunk,0.465,Charholi
134,Vidyanagar - Pune Station,8.7,30.4,20,1,1,trunk,0.928,Aundh
135A,Wadebolhai - Kesnand Phata,10.8,37.4,27,2,1,trunk,0.423,Bhosari
135,Wadebolhai - Pune Station,25.6,85.1,64,1,1,suburban,0.925,Dhankawadi
136A,Vadegaon - Kesnand Phata,12.7,43.8,31,1,1,trunk,0.526,Hadapsar
136,Vadegaon - Pune Station,27.5,101.0,70,2,2,suburban,0.926,Katraj
139A,Bhakti Shakti - Bhekrainagar,30.7,113.6,78,1,1,suburban,0.513,Kothrud
139,Bhakti Shakti - Shewalwadi,31.6,111.7,76,1,1,suburban,0.491,Nigdi
