route_id,period,frequency,buses_assigned
174A,midday,1,3
174A,PM_peak,3,8
174A,evening,1,3
174B,early_morning,1,3
174B,AM_peak,3,9
174B,midday,2,6
174B,PM_peak,3,9
174B,evening,2,6
174,early_morning,2,5
174,AM_peak,3,8
174,midday,2,5
174,PM_peak,3,8
174,evening,2,5
175,early_morning,2,4
175,AM_peak,1,2
175,midday,2,4
175,PM_peak,1,2
175,evening,2,4
176A,early_morning,2,3
176A,AM_peak,2,3
176A,midday,2,3
176A,PM_peak,2,3
176A,evening,2,3
176,early_morning,2,3
176,AM_peak,1,2
176,midday,2,3
176,PM_peak,2,3
176,evening,2,3
177A,early_morning,2,5
177A,AM_peak,3,8
177A,midday,2,5
177A,PM_peak,3,8
177A,evening,2,5
177B,early_morning,2,3
177B,AM_peak,3,4
177B,midday,3,4
177B,PM_peak,3,4
177B,evening,3,4
177,early_morning,3,4
177,AM_peak,3,4
177,midday,3,4
177,PM_peak,3,4
177,evening,2,3
177D,early_morning,2,3
177D,AM_peak,3,4
177D,midday,2,3
177D,PM_peak,3,4
177D,evening,2,3
177K,early_morning,2,3
177K,AM_peak,3,4
177K,midday,2,3
177K,PM_peak,3,4
177K,evening,2,3
177M,early_morning,2,4
177M,AM_peak,3,5
177M,midday,2,4
177M,PM_peak,3,5
177M,evening,2,4
179A,early_morning,2,3
179A,AM_peak,2,3
179A,midday,3,4
179A,PM_peak,2,3
179A,evening,2,3
179,early_morning,1,2
179,AM_peak,1,2
179,midday,2,4
179,PM_peak,1,2
179,evening,1,2
17A,early_morning,2,4
17A,AM_peak,2,4
17A,midday,2,4
17A,PM_peak,1,2
17A,evening,2,4
17B,early_morning,3,2
17B,AM_peak,3,2
17B,midday,3,2
17B,PM_peak,3,2
17B,evening,3,2
17,early_morning,1,2
17,AM_peak,1,2
17,midday,1,2
17,PM_peak,1,2
17,evening,1,2
180,early_morning,2,4
180,AM_peak,1,2
180,midday,2,4
180,PM_peak,1,2
180,evening,2,4
181A,early_morning,2,4
181A,AM_peak,1,2
181A,midday,2,4
181A,PM_peak,1,2
181A,evening,2,4
181B,early_morning,2,4
181B,AM_peak,1,2
181B,midday,3,5
181B,PM_peak,1,2
181B,evening,3,5
181C,early_morning,2,4
181C,AM_peak,1,2
181C,midday,2,4
181C,PM_peak,2,4
181C,evening,3,5
181,early_morning,2,3
181,AM_peak,1,2
181,midday,2,3
181,PM_peak,2,3
181,evening,2,3
183A,early_morning,1,4
183A,AM_peak,1,4
183A,midday,1,4
183A,PM_peak,1,4
183A,evening,1,4
183,early_morning,2,5
183,AM_peak,1,3
183,midday,2,5
183,PM_peak,1,3
183,evening,2,5
184A,early_morning,2,3
184A,AM_peak,2,3
184A,midday,2,3
184A,PM_peak,2,3
184A,evening,2,3
184A-NGT,early_morning,2,3
184A-NGT,AM_peak,2,3
184A-NGT,midday,2,3
184A-NGT,PM_peak,2,3
184A-NGT,evening,2,3
184B,early_morning,1,2
184B,AM_peak,1,2
184B,midday,2,4
184B,PM_peak,1,2
184B,evening,1,2
184,early_morning,2,5
184,AM_peak,1,3
184,midday,2,5
184,PM_peak,1,3
184,evening,2,5
185,early_morning,3,3
185,AM_peak,3,3
185,midday,3,3
185,PM_peak,3,3
185,evening,3,3
186A,early_morning,2,3
186A,AM_peak,2,3
186A,midday,2,3
186A,PM_peak,2,3
186A,evening,2,3
186B,early_morning,2,2
186B,AM_peak,2,2
